id,name,latitude,longitude
173,Sandino,22.0811111,-84.2216667
174,Mantua,22.2905556,-84.2872222
175,Minas de Matahambre,22.5861111,-83.9486111
176,Viñales,22.6152778,-83.7158333
177,La Palma,22.7563889,-83.5533333
178,Consolación del Sur,22.5047222,-83.5152778
179,Pinar del Río,22.4177778,-83.6980556
180,San Luis,22.2777778,-83.7677778
181,San Juan y Martínez,22.2677778,-83.8358333
182,Guane,22.2016667,-84.0833333
183,Los Palacios,22.5827778,-83.2480556
184,Bahía Honda,22.9036111,-83.1652778
185,Mariel,22.9897222,-82.7583333
186,Guanajay,22.9297222,-82.6880556
187,Caimito,22.9577778,-82.6038889
188,Bauta,22.9916667,-82.5483333
189,San Antonio de los Baños,22.8908333,-82.5038889
190,Güira de Melena,22.8022222,-82.5047222
191,Alquízar,22.8047222,-82.5827778
192,Artemisa,22.8136111,-82.7636111
193,Candelaria,22.7405556,-82.9583333
194,San Cristóbal,22.7144444,-83.0566667
195,Playa,23.0955556,-82.4486111
196,Plaza de la Revolución,23.1158333,-82.3877778
197,Centro Habana,23.1294444,-82.3833333
198,La Habana Vieja,23.1355556,-82.3497222
199,Regla,23.1255556,-82.3319444
200,Habana del Este,23.1569444,-82.2977778
201,Guanabacoa,23.1180556,-82.2836111
202,San Miguel del Padrón,23.0919444,-82.3277778
203,Diez de Octubre,23.0888889,-82.3597222
204,Cerro,23.1036111,-82.3819444
205,Marianao,23.0855556,-82.4333333
206,La Lisa,23.0458333,-82.4583333
207,Boyeros,23.0219444,-82.4016667
208,Arroyo Naranjo,23.0377778,-82.3327778
209,Cotorro,23.0294444,-82.2486111
210,Bejucal,22.9327778,-82.3861111
211,San José de las Lajas,22.9613889,-82.1538889
212,Jaruco,23.0430556,-82.0080556
213,Santa Cruz del Norte,23.1552778,-81.9241667
214,Madruga,22.9119444,-81.8597222
215,Nueva Paz,22.7625,-81.7563889
216,San Nicolás,22.7822222,-81.9166667
217,Güines,22.8408333,-82.0238889
218,Melena del Sur,22.7825,-82.1483333
219,Batabanó,22.7297222,-82.2894444
220,Quivicán,22.8238889,-82.3513889
221,Martí,22.9527778,-80.9252778
222,Colón,22.7194444,-80.9055556
223,Perico,22.7702778,-81.0152778
224,Jovellanos,22.8058333,-81.2027778
225,Pedro Betancourt,22.7263889,-81.2966667
226,Limonar,22.9505556,-81.4088889
227,Unión de Reyes,22.7988889,-81.5372222
228,Ciénaga de Zapata,22.2427778,-81.4155556
229,Jagüey Grande,22.5269444,-81.1325
